Month,Sales,t,t_square,log_Sales,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan-49,742,1,1,6.609349243,1,0,0,0,0,0,0,0,0,0,0,0
Feb-49,697,2,4,6.546785411,0,1,0,0,0,0,0,0,0,0,0,0
Mar-49,776,3,9,6.65415252,0,0,1,0,0,0,0,0,0,0,0,0
Apr-49,898,4,16,6.800170068,0,0,0,1,0,0,0,0,0,0,0,0
May-49,1030,5,25,6.937314081,0,0,0,0,1,0,0,0,0,0,0,0
Jun-49,1107,6,36,7.009408933,0,0,0,0,0,1,0,0,0,0,0,0
Jul-49,1165,7,49,7.060476366,0,0,0,0,0,0,1,0,0,0,0,0
Aug-49,1216,8,64,7.103322063,0,0,0,0,0,0,0,1,0,0,0,0
Sep-49,1208,9,81,7.096721378,0,0,0,0,0,0,0,0,1,0,0,0
Oct-49,1131,10,100,7.030857476,0,0,0,0,0,0,0,0,0,1,0,0
Nov-49,971,11,121,6.878326468,0,0,0,0,0,0,0,0,0,0,1,0
Dec-49,783,12,144,6.663132696,0,0,0,0,0,0,0,0,0,0,0,1
Jan-50,741,13,169,6.608000625,1,0,0,0,0,0,0,0,0,0,0,0
Feb-50,700,14,196,6.551080335,0,1,0,0,0,0,0,0,0,0,0,0
Mar-50,774,15,225,6.651571874,0,0,1,0,0,0,0,0,0,0,0,0
Apr-50,932,16,256,6.837332815,0,0,0,1,0,0,0,0,0,0,0,0
May-50,1099,17,289,7.002155954,0,0,0,0,1,0,0,0,0,0,0,0
Jun-50,1223,18,324,7.109062136,0,0,0,0,0,1,0,0,0,0,0,0
Jul-50,1290,19,361,7.162397497,0,0,0,0,0,0,1,0,0,0,0,0
Aug-50,1349,20,400,7.207118856,0,0,0,0,0,0,0,1,0,0,0,0
Sep-50,1341,21,441,7.201170883,0,0,0,0,0,0,0,0,1,0,0,0
Oct-50,1296,22,484,7.167037877,0,0,0,0,0,0,0,0,0,1,0,0
Nov-50,1066,23,529,6.971668605,0,0,0,0,0,0,0,0,0,0,1,0
Dec-50,901,24,576,6.803505258,0,0,0,0,0,0,0,0,0,0,0,1
Jan-51,896,25,625,6.797940413,1,0,0,0,0,0,0,0,0,0,0,0
Feb-51,793,26,676,6.675823222,0,1,0,0,0,0,0,0,0,0,0,0
Mar-51,885,27,729,6.785587645,0,0,1,0,0,0,0,0,0,0,0,0
Apr-51,1055,28,784,6.961296046,0,0,0,1,0,0,0,0,0,0,0,0
May-51,1204,29,841,7.093404626,0,0,0,0,1,0,0,0,0,0,0,0
Jun-51,1326,30,900,7.189922171,0,0,0,0,0,1,0,0,0,0,0,0
Jul-51,1303,31,961,7.172424577,0,0,0,0,0,0,1,0,0,0,0,0
Aug-51,1436,32,1024,7.26961675,0,0,0,0,0,0,0,1,0,0,0,0
Sep-51,1473,33,1089,7.295056416,0,0,0,0,0,0,0,0,1,0,0,0
Oct-51,1453,34,1156,7.281385664,0,0,0,0,0,0,0,0,0,1,0,0
Nov-51,1170,35,1225,7.064759028,0,0,0,0,0,0,0,0,0,0,1,0
Dec-51,1023,36,1296,6.930494766,0,0,0,0,0,0,0,0,0,0,0,1
Jan-52,951,37,1369,6.857514063,1,0,0,0,0,0,0,0,0,0,0,0
Feb-52,861,38,1444,6.758094504,0,1,0,0,0,0,0,0,0,0,0,0
Mar-52,938,39,1521,6.843749949,0,0,1,0,0,0,0,0,0,0,0,0
Apr-52,1109,40,1600,7.011213987,0,0,0,1,0,0,0,0,0,0,0,0
May-52,1274,41,1681,7.149916836,0,0,0,0,1,0,0,0,0,0,0,0
Jun-52,1422,42,1764,7.25981961,0,0,0,0,0,1,0,0,0,0,0,0
Jul-52,1486,43,1849,7.303843225,0,0,0,0,0,0,1,0,0,0,0,0
Aug-52,1555,44,1936,7.349230825,0,0,0,0,0,0,0,1,0,0,0,0
Sep-52,1604,45,2025,7.380255788,0,0,0,0,0,0,0,0,1,0,0,0
Oct-52,1600,46,2116,7.377758908,0,0,0,0,0,0,0,0,0,1,0,0
Nov-52,1403,47,2209,7.24636808,0,0,0,0,0,0,0,0,0,0,1,0
Dec-52,1209,48,2304,7.097548851,0,0,0,0,0,0,0,0,0,0,0,1
Jan-53,1030,49,2401,6.937314081,1,0,0,0,0,0,0,0,0,0,0,0
Feb-53,1032,50,2500,6.939253946,0,1,0,0,0,0,0,0,0,0,0,0
Mar-53,1126,51,2601,7.026426809,0,0,1,0,0,0,0,0,0,0,0,0
Apr-53,1285,52,2704,7.158513997,0,0,0,1,0,0,0,0,0,0,0,0
May-53,1468,53,2809,7.291656209,0,0,0,0,1,0,0,0,0,0,0,0
Jun-53,1637,54,2916,7.400620577,0,0,0,0,0,1,0,0,0,0,0,0
Jul-53,1611,55,3025,7.384610383,0,0,0,0,0,0,1,0,0,0,0,0
Aug-53,1608,56,3136,7.38274645,0,0,0,0,0,0,0,1,0,0,0,0
Sep-53,1528,57,3249,7.33171497,0,0,0,0,0,0,0,0,1,0,0,0
Oct-53,1420,58,3364,7.258412151,0,0,0,0,0,0,0,0,0,1,0,0
Nov-53,1119,59,3481,7.020190708,0,0,0,0,0,0,0,0,0,0,1,0
Dec-53,1013,60,3600,6.920671504,0,0,0,0,0,0,0,0,0,0,0,1
